,City,Latitude,Longitude,Date,Month,Year,Season,Temperature_(°C)_Max,Temperature_(°C)_Avg,Temperature_(°C)_Min,Humidity_(%)_Max,Humidity_(%)_Avg,Humidity_(%)_Min,Wind_Speed_(kph)_Max,Wind_Speed_(kph)_Avg,Wind_Speed_(kph)_Min,Pressure_(hPa)_Max
0,Elche,38.2851,-0.5625,2002-01-01,January,2002,winter,13.9,12.7,12.2,94.0,75.9,62.0,37.0,25.1,19.3,1023.0
1,Elche,38.2851,-0.5625,2002-01-02,January,2002,winter,13.9,12.7,10.0,82.0,76.7,67.0,40.2,23.0,4.8,1023.0
2,Elche,38.2851,-0.5625,2002-01-03,January,2002,winter,13.9,11.6,8.9,94.0,83.8,72.0,14.5,5.6,0.0,1019.0
3,Elche,38.2851,-0.5625,2002-01-04,January,2002,winter,15.0,12.5,8.9,94.0,77.6,63.0,29.0,12.9,3.2,1023.0
4,Elche,38.2851,-0.5625,2002-01-05,January,2002,winter,13.9,13.0,12.2,88.0,68.2,58.0,27.4,23.3,9.7,1029.0
5,Elche,38.2851,-0.5625,2002-01-06,January,2002,winter,12.8,11.1,10.0,88.0,72.1,58.0,22.5,12.2,4.8,1029.0
6,Elche,38.2851,-0.5625,2002-01-07,January,2002,winter,12.8,10.8,8.9,76.0,67.9,58.0,19.3,10.5,1.6,1026.0
7,Elche,38.2851,-0.5625,2002-01-08,January,2002,winter,13.9,11.1,7.8,76.0,65.8,55.0,25.7,12.7,0.0,1023.0
8,Elche,38.2851,-0.5625,2002-01-09,January,2002,winter,15.0,11.8,10.0,76.0,69.1,63.0,24.1,14.2,4.8,1029.0
9,Elche,38.2851,-0.5625,2002-01-10,January,2002,winter,15.0,11.7,7.8,87.0,74.9,59.0,16.1,8.0,0.0,1029.0
10,Elche,38.2851,-0.5625,2002-01-11,January,2002,winter,15.0,10.2,2.4142154987211186,87.0,75.5,0.0,12.9,6.8,0.0,1029.0
11,Elche,38.2851,-0.5625,2002-01-12,January,2002,winter,15.0,9.5,5.0,87.0,77.3,48.0,14.5,7.7,0.0,1029.0
12,Elche,38.2851,-0.5625,2002-01-13,January,2002,winter,23.9,10.9,3.9,93.0,73.8,25.0,37.0,12.4,3.2,1029.0
13,Elche,38.2851,-0.5625,2002-01-14,January,2002,winter,17.8,13.3,7.8,87.0,65.4,40.0,32.2,15.4,0.0,1023.0
14,Elche,38.2851,-0.5625,2002-01-15,January,2002,winter,17.2,11.0,5.0,93.0,67.3,39.0,29.0,12.9,3.2,1023.0
15,Elche,38.2851,-0.5625,2002-01-16,January,2002,winter,17.2,10.8,3.9,87.0,56.3,31.0,32.2,13.4,0.0,1019.0
16,Elche,38.2851,-0.5625,2002-01-17,January,2002,winter,15.0,8.8,3.9,87.0,68.6,42.0,16.1,9.8,4.8,1023.0
17,Elche,38.2851,-0.5625,2002-01-18,January,2002,winter,16.1,10.2,7.2,87.0,68.0,42.0,24.1,11.7,3.2,1019.0
18,Elche,38.2851,-0.5625,2002-01-19,January,2002,winter,16.1,9.5,0.36281935740203686,87.0,70.7,0.0,16.1,9.7,1.6,1023.0
19,Elche,38.2851,-0.5625,2002-01-20,January,2002,winter,15.0,9.9,5.0,93.0,78.0,63.0,11.3,6.4,0.0,1026.0
20,Elche,38.2851,-0.5625,2002-01-21,January,2002,winter,15.0,8.8,3.9,93.0,84.2,59.0,12.9,7.9,1.6,1026.0
21,Elche,38.2851,-0.5625,2002-01-22,January,2002,winter,16.1,11.9,7.2,93.0,63.6,39.0,41.8,16.1,0.0,1019.0
22,Elche,38.2851,-0.5625,2002-01-23,January,2002,winter,16.1,11.0,3.9,87.0,73.5,55.0,20.9,6.0,0.0,1019.0
23,Elche,38.2851,-0.5625,2002-01-24,January,2002,winter,17.8,14.6,12.2,62.0,45.5,32.0,41.8,23.7,4.8,1019.0
24,Elche,38.2851,-0.5625,2002-01-25,January,2002,winter,17.8,13.7,10.0,72.0,52.6,34.0,27.4,17.1,3.2,1023.0
25,Elche,38.2851,-0.5625,2002-01-26,January,2002,winter,21.1,14.4,8.9,76.0,59.2,40.0,29.0,15.9,0.0,1026.0
