Column1,dias,Date,City,Time_Temperature_(°F)_Max,Time_Temperature_(°F)_Avg,Time_Temperature_(°F)_Min,Dew_Point_(°F)_Max,Dew_Point_(°F)_Avg,Dew_Point_(°F)_Min,Humidity_(%)_Max,Humidity_(%)_Avg,Humidity_(%)_Min,Wind_Speed_(mph)_Max,Wind_Speed_(mph)_Avg,Wind_Speed_(mph)_Min,Pressure_(in)_Max,Pressure_(in)_Avg,Pressure_(in)_Min,Month,Year
11,11,11/01/2002,Elche,59,50.4,0,48,43.6,0,87,75.5,0,8,4.2,0,30.4,30.4,30.4,Jan,2002
19,19,19/01/2002,Elche,61,49.1,0,45,40.1,0,87,70.7,0,10,6,1,30.2,29.5,0,Jan,2002
8,8,8/02/2002,Elche,63,49.7,0,75,34.9,0,100,59.6,0,10,4.3,0,30.3,30.3,30.2,Feb,2002
10,10,10/02/2002,Elche,72,55.4,0,52,44.5,0,87,67,0,17,5.2,0,30.1,30.1,30,Feb,2002
23,23,23/02/2002,Elche,72,52.6,0,52,39.8,0,87,63.1,0,10,6.6,0,30.1,30,30,Feb,2002
8,8,8/03/2002,Elche,61,54.1,0,48,42.7,0,88,64.9,0,14,6.1,0,30,30,30,Mar,2002
11,11,11/04/2002,Elche,66,57.7,0,55,50.8,0,88,75.8,0,17,9.5,3,29.3,28.5,0,Apr,2002
12,12,12/04/2002,Elche,61,53.9,0,52,42.1,0,88,64,0,23,10.2,0,29.3,29.2,29,Apr,2002
18,18,18/04/2002,Elche,66,56.8,0,54,48,0,94,72.4,0,9,3.8,0,30,29.9,29.9,Apr,2002
20,20,20/05/2002,Elche,75,65,0,54,43.5,0,88,48.9,0,12,5.3,0,30,29.1,0,May,2002
30,30,30/05/2002,Elche,77,67.3,0,55,46.2,0,64,45.6,0,22,10.2,0,30,30,29.9,May,2002
2,2,2/06/2002,Elche,84,72.5,0,61,51.5,0,78,49.4,0,14,6.7,0,29.9,29.8,29.8,Jun,2002
3,3,3/06/2002,Elche,77,69.4,0,64,61.5,0,88,74,0,8,5,2,29.8,29.7,29.7,Jun,2002
10,10,10/06/2002,Elche,79,70.1,0,205,53.8,0,78,48.1,0,13,7.9,2,56.3,31,29.9,Jun,2002
22,22,22/06/2002,Elche,84,75.2,0,66,59.5,0,83,59,0,8,3.7,0,30,30,29.9,Jun,2002
3,3,3/07/2002,Elche,91,78.7,0,70,63.5,0,94,61.8,0,15,6.4,0,29.8,29.8,29.7,Jul,2002
6,6,6/07/2002,Elche,81,71.1,0,68,62.7,0,88,71.8,0,14,6.5,1,56.3,30.4,29.8,Jul,2002
13,13,13/07/2002,Elche,84,76,0,72,66.6,0,94,70.7,0,22,7.8,0,29.9,29.9,29.9,Jul,2002
23,23,23/07/2002,Elche,95,80.4,0,68,53.1,0,88,41.8,0,22,11,0,29.9,29.8,29.8,Jul,2002
25,25,25/07/2002,Elche,86,76.7,0,68,61.5,0,78,59.6,0,10,5.2,0,30,29.9,29.9,Jul,2002
31,31,31/07/2002,Elche,84,76.8,0,68,64.5,0,83,64.6,0,13,7.3,0,29.7,29.7,29.6,Jul,2002
27,27,27/08/2002,Elche,77,71.6,0,64,61.8,0,88,70.1,0,14,6,0,29.9,29.2,0,Aug,2002
18,18,18/09/2002,Elche,84,74.3,0,70,64.1,0,88,70.1,0,7,3.3,0,29.8,29.7,29.7,Sep,2002
27,27,27/09/2002,Elche,79,70.1,0,66,62.1,0,94,74.5,0,12,5.2,0,30,29.9,29.6,Sep,2002
21,21,21/10/2002,Elche,86,72,0,66,61.5,0,94,69.5,0,14,5.8,0,29.8,29.7,29.6,Oct,2002
25,25,25/10/2002,Elche,82,69,0,63,50.6,0,78,51.6,0,14,8.2,0,30,30,29.9,Oct,2002
19,19,19/11/2002,Elche,68,57.7,0,61,48,0,87,69.2,0,9,4.7,0,29.9,29.7,29.6,Nov,2002
28,28,28/11/2002,Elche,77,62.9,0,57,49.9,0,88,62.7,0,17,6.2,1,30,29.9,29.9,Nov,2002
6,6,6/12/2002,Elche,64,52,0,37,27.9,0,62,41.3,0,21,10.7,5,29.8,29.8,29.8,Dec,2002
11,11,11/01/2003,Elche,54,45.8,0,41,24.2,0,70,43.4,0,21,10.5,2,29.9,29.9,29.8,Jan,2003
16,16,16/10/2003,Elche,79,59.1,0,59,48.7,0,88,59.1,0,20,6.6,0,29.8,29.7,29.7,Oct,2003
17,17,17/10/2003,Elche,70,59.7,0,59,52.7,0,88,74.3,0,9,5.2,1,29.7,29.7,29.6,Oct,2003
17,17,17/11/2003,Elche,66,58.2,0,55,49.1,0,88,67.9,0,22,13.1,3,30,29.9,29.7,Nov,2003
3,3,3/02/2004,Elche,55,52.5,0,50,47.7,0,94,82.8,0,5,1.7,0,30.4,29.7,0,Feb,2004
9,9,9/06/2004,Elche,81,72.7,0,61,53.7,0,69,50.2,0,20,9.7,0,30.1,29.3,0,Jun,2004
10,10,10/06/2004,Elche,81,67.9,0,63,50.3,0,73,49.3,0,12,6.2,0,30.1,28,0,Jun,2004
8,8,8/07/2004,Elche,88,78.5,0,68,37,0,83,27,0,18,11.2,0,29.9,29.8,29.7,Jul,2004
4,4,4/12/2004,Elche,57,53.1,0,50,46.8,0,94,78,0,12,5.5,0,29.9,29.8,29.8,Dec,2004
18,18,18/12/2004,Elche,70,60,0,48,40.5,0,77,46.4,0,31,13.8,0,30.1,30,29.9,Dec,2004
26,26,26/12/2004,Elche,52,46.2,0,27,21.5,0,46,36.4,0,32,19.7,0,29.6,29.5,29.4,Dec,2004
3,3,3/01/2005,Elche,59,48.1,0,46,40.4,0,87,73.3,0,13,5.4,0,30.5,30.4,30.3,Jan,2005
11,11,11/01/2005,Elche,59,47.9,0,45,38.3,0,87,68.9,0,6,3.7,0,30.4,30.3,30.3,Jan,2005
6,6,6/07/2005,Elche,84,73.1,0,68,59.7,0,100,59.8,0,10,5.2,0,29.9,29.1,0,Jul,2005
18,18,18/07/2005,Elche,93,67.3,0,72,46.6,0,83,36.8,0,15,7.5,0,29.9,29.8,29.7,Jul,2005
26,26,26/09/2005,Elche,77,64.9,0,64,51.7,0,83,55,0,15,7.4,2,30,29.9,29.8,Sep,2005
30,30,30/01/2006,Elche,54,44.2,0,39,22.4,0,87,63.7,0,18,8.5,1,29.8,29,0,Jan,2006
29,29,29/04/2006,Elche,68,61.2,0,55,52.5,0,88,71.9,0,10,3.9,0,29.8,29.7,29.7,Apr,2006
2,2,2/05/2006,Elche,72,63.6,0,57,50.5,0,82,61.8,0,23,11.5,0,29.7,29.7,29.6,May,2006
31,31,31/07/2006,Elche,97,60.5,0,70,42.4,0,74,34.3,0,9,5.2,0,29.8,29.8,29.7,Jul,2006
1,1,1/08/2006,Elche,91,34.6,0,73,28,0,74,23.5,0,15,5.9,0,29.8,29.8,29.7,Aug,2006
2,2,2/11/2006,Elche,73,67.5,0,64,59.5,0,94,74,0,14,6.6,1,29.9,29.9,29.8,Nov,2006
30,30,30/11/2006,Elche,66,59.6,0,50,47.3,0,77,62.6,0,18,10.1,0,30.3,30.2,30.2,Nov,2006
25,25,25/04/2007,Elche,75,50.8,0,55,38.3,0,77,49.6,0,9,3,0,29.9,29.8,29.5,Apr,2007
1,1,1/05/2007,Elche,72,59.7,0,43,28,0,51,29.7,0,23,13.1,0,29.7,29.7,29.6,May,2007
18,18,18/05/2007,Elche,81,46.4,0,59,32.8,0,73,31.1,0,9,3.1,0,29.9,29.8,29.8,May,2007
24,24,24/05/2007,Elche,79,66.8,0,64,54.7,0,88,60.7,0,14,5.6,0,29.7,29.6,29.6,May,2007
25,25,25/05/2007,Elche,81,56.2,0,63,39.5,0,83,37.5,0,28,8.6,0,29.7,29.6,29.6,May,2007
28,28,28/05/2007,Elche,73,33.1,0,45,18.9,0,46,18.2,0,24,12.2,0,29.8,29.7,29.6,May,2007
30,30,30/05/2007,Elche,73,8.5,0,52,6.3,0,64,7.3,0,18,6.2,0,29.8,29.8,29.7,May,2007
31,31,31/05/2007,Elche,88,32.4,0,59,19.3,0,61,13.9,0,16,8.8,0,29.8,29.7,29.7,May,2007
2,2,2/06/2007,Elche,73,66,0,55,48.6,0,72,52.6,0,14,5.7,0,30,30,29.9,Jun,2007
4,4,4/06/2007,Elche,81,71.5,0,75,49.8,0,89,48.4,0,14,4,0,29.9,29.9,29.8,Jun,2007
7,7,7/06/2007,Elche,79,69.2,0,61,54.2,0,78,58.5,0,12,4.3,0,29.9,29.8,29.7,Jun,2007
13,13,13/07/2007,Elche,81,73.4,0,66,59.5,0,78,59.5,0,17,9.6,0,29.9,29.9,29.9,Jul,2007
