Date,season,Avg_Temp,Min_Temp,Max_Temp,Avg_Humidity,Min_Humidity,Max_Humidity,Avg_Wind,Min_Wind,Max_Wind,city
2019-01-24,summer,33.6,23.9,45,37.3,8,74,18.8,0,40.2,Adelaide
2009-01-28,summer,37.6,32.8,43.9,20.7,9,41,20.3,4.8,38.6,Adelaide
2013-01-04,summer,29.4,18.9,43.9,33.3,3,65,24.1,8,33.8,Adelaide
2014-01-14,summer,32.7,25,42.8,33.8,10,69,20.3,0,53.1,Adelaide
2009-02-06,summer,32.8,23.9,42.8,42.4,10,83,18.2,0,49.9,Adelaide
2004-02-14,summer,33.7,27.2,42.8,44.5,18,79,14,0,29,Adelaide
2009-11-19,spring,30.7,20,42.8,38,7,83,20.8,0,46.7,Adelaide
2019-12-19,spring,38.5,32.2,42.8,11.9,6,21,20.8,9.7,38.6,Adelaide
2019-12-20,spring,27.2,17.2,42.2,46.4,15,73,28.2,12.9,46.7,Adelaide
2019-12-18,spring,32.8,22.2,42.2,21,6,53,13.5,0,25.7,Adelaide
